"","product_group","year","exports"
"508","Textiles and Clothing","2006",4709825.42799999
"509","Textiles and Clothing","2007",6251964.58400001
"510","Textiles and Clothing","2008",6484233.85699999
"511","Textiles and Clothing","2009",5943726.785
"512","Textiles and Clothing","2010",7449872.577
"513","Textiles and Clothing","2011",9456797.14500001
"514","Textiles and Clothing","2012",9913488.70300001
"515","Textiles and Clothing","2013",10608669.624
"516","Textiles and Clothing","2014",13558106
"517","Textiles and Clothing","2015",14060655.119
"518","Textiles and Clothing","2016",12220020.095
"519","Textiles and Clothing","2017",12866230.183
"520","Textiles and Clothing","2018",13144275.188
"521","Textiles and Clothing","2019",14253833.12
"522","Textiles and Clothing","2020",14302632.618
"523","Transportation","1992",160616.695
"524","Transportation","1993",42771.939
"525","Transportation","1994",108037.706
"526","Transportation","1995",145161.91
"527","Transportation","1996",221048.181
"528","Transportation","1997",295596.579
"529","Transportation","1998",261227.463
"530","Transportation","1999",131007.185
"531","Transportation","2000",318840.574
"532","Transportation","2001",341286.652
"533","Transportation","2002",357579.738
"534","Transportation","2003",678713.836
"535","Transportation","2004",909160.354
"536","Transportation","2005",1289151.534
"537","Transportation","2006",2000721.763
"538","Transportation","2007",3006383.994
"539","Transportation","2008",3961945.521
"540","Transportation","2009",3975855.034
"541","Transportation","2010",6709540.414
"542","Transportation","2011",8018362.01
"543","Transportation","2012",7092619.044
"544","Transportation","2013",7150487.185
"545","Transportation","2014",6709172.08699999
"546","Transportation","2015",6606640.53
"547","Transportation","2016",4664140.144
"548","Transportation","2017",6033461.419
"549","Transportation","2018",5798704.453
"550","Transportation","2019",7672855.934
"551","Transportation","2020",6688802.949
"552","Vegetable","1992",155850.238
"553","Vegetable","1993",175188.561
"554","Vegetable","1994",98823.854
"555","Vegetable","1995",82694.412
"556","Vegetable","1996",63081.878
"557","Vegetable","1997",119216.566
"558","Vegetable","1998",161174.926
"559","Vegetable","1999",192057.933
"560","Vegetable","2000",247191.774
"561","Vegetable","2001",203441.725
"562","Vegetable","2002",223126.422
"563","Vegetable","2003",353224.661
"564","Vegetable","2004",191787.786
"565","Vegetable","2005",200777.052
"566","Vegetable","2006",291942.437
"567","Vegetable","2007",363538.062
"568","Vegetable","2008",471416.569
"569","Vegetable","2009",421795.226
"570","Vegetable","2010",404734.002
"571","Vegetable","2011",470499.402
"572","Vegetable","2012",428567.953
"573","Vegetable","2013",441449.586
"574","Vegetable","2014",456235.043
"575","Vegetable","2015",451213.961
"576","Vegetable","2016",561201.515
"577","Vegetable","2017",779791.968
"578","Vegetable","2018",840266.800000001
"579","Vegetable","2019",917953.519
"580","Vegetable","2020",868845.456
"581","Wood","1992",4115.533
"582","Wood","1993",5648.86
"583","Wood","1994",6766.24
"584","Wood","1995",12593.039
"585","Wood","1996",10230.184
"586","Wood","1997",10612.474
"587","Wood","1998",35997.926
"588","Wood","1999",10911.847
"589","Wood","2000",25382.361
"590","Wood","2001",25593.288
"591","Wood","2002",24281.946
"592","Wood","2003",51754.341
"593","Wood","2004",71347.3719999999
"594","Wood","2005",129974.887
"595","Wood","2006",213424.017
"596","Wood","2007",348986.467
"597","Wood","2008",459803.506
"598","Wood","2009",418852.812
"599","Wood","2010",567868.571000001
"600","Wood","2011",903672.967
"601","Wood","2012",1156032.772
"602","Wood","2013",1413765.841
"603","Wood","2014",1817692.789
"604","Wood","2015",1980611.524
"605","Wood","2016",1596718.091
"606","Wood","2017",1460927.682
"607","Wood","2018",1599883.49
"608","Wood","2019",1623987.532
"609","Wood","2020",1501125.899
